date,startup,vertical,subvertical,city,investors,round,amount
2016-01-27,Applicate,Technology,"Sales, Market, Distribution & Data Analytics Platform",Bangalore,Undisclosed investors,Seed Funding,8.25
2016-01-27,WhatsOnRent,ECommerce,Online Rental Marketplace,Bangalore,Lalit Mangal & Others,Seed Funding,0.0
2016-01-28,Zebi (yet to launch),Technology,Data Intelligence & Analytics,Hyderabad,Un disclosed investors,Seed Funding,8.25
2016-01-28,Truce,FMCG,Vegetables & Fruits Supply Chain,Mumbai,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",Seed Funding,3.0525
2016-01-28,JustDoc,Consumer Interne,Medical Video Consultation platform,Bangalore,"TV Mohandas Pai, Mohit Saxena, Raghunandan G, Singapore Angel Network, TracxnLabs",Seed Funding,0.0
2016-01-28,Myeglu,Technology,Connected Smart Home Solutions,Bangalore,Foxconn Technology Group & Others,Seed Funding,0.0
2016-01-29,BitGiving,Consumer Internet,Crowd Funding Platform,New Delhi,"Harminder Sahni, Krishna Mehra, Sanjay Bakshi",Seed Funding,0.0
2016-01-29,Qriyo,Consumer Internet,Online Fitness & Educational information Aggregator,Jodhpur,Idein Ventures,Seed Funding,1.32
2016-01-29,N.O.W,Consumer Internet,Rental Bike Aggregator App,Noida,Maple Capital Advisors,Seed Funding,0.0
2016-01-29,Aisle,Consumer Internet,Indians focused Matchmaking App,Bangalore,"TermSheet, ah! Ventures",Seed Funding,1.52625
2016-01-29,FreshMenu,Consumer Internet,Fresh Food Delivery platform,Bangalore,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,140.25
2016-01-29,Truebil,ECommerce,Online marketplace for cars,Mumbai,"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",Private Equity,42.4875
2016-01-29,Rare Media,Technology,Mobile & Cloud based App developer,New Delhi,Info Edge (India) Ltd,Private Equity,9.075
2016-01-29,TinMen,Consumer Internet,Food Delivery Platform,Hyderabad,Lead Angel Network,Seed Funding,0.0
2016-01-29,CodingLabs,Technology,Coding Skill Showcase & Resume Builder,Hyderabad,Vineet Nalla,Seed Funding,0.0
2016-01-30,FindUrClass,Consumer Internet,Hobby & Activity Class Aggregator,Mumbai,"Amit Patni, Anirudh Damani, Samir Shah",Seed Funding,0.0
2016-01-30,DesignBids,Consumer Internet,Interior Design Marketplace,New Delhi,Indian Angel Network,Seed Funding,0.0
2015-01-12,CollegeDekho,Online Education Information platform,,Jaipur,GirnarSoft,Seed Funding,8.25
2015-01-12,Black White Orange Brands,Brand Licensing Startup,,Mumbai,YouWeCan Ventures,Seed Funding,0.0
2015-01-12,Biteclub,Gourmet Food Discovery & Delivery platform,,Gurgaon,growX ventures,Private Equity,0.0
2015-01-12,Patel Logistics,Transportation & Logistics Platform,,Mumbai,Frontline Strategy,Private Equity,46.2
2015-01-12,Wigzo,Enterprise Marketing Automation platform,,New Delhi,"Aarin Capital Partners, TV Mohandas Pai",Seed Funding,4.125
2015-01-12,Godof Hospitals,Digital Healthcare,,New Delhi,Pankaj Gupta,Seed Funding,16.5
2015-02-12,RoomsTonite,Last Minute Hotel Booking App,,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna",Seed Funding,12.375
2015-02-12,Kaaryah,Womens Fashion Wear Portal,,New Delhi,"The Saha Fund, TV Mohandas Pai",Private Equity,0.0
2015-03-12,Anakage,Product Learning platform,,Bangalore,CIO Angel Network (CAN),Seed Funding,0.0
2015-03-12,EasyKhaana,Online Food ordering & Delivery platform,,New Delhi,Undisclosed investors,Seed Funding,0.825
2015-03-12,Shuttl,App based Bus Pooling Services,,Gurgaon,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,165.0
2015-03-12,Eckovation,Social Learning Platform,,New Delhi,Chandigarh Angel Network (CAN),Seed Funding,0.0
2015-03-12,Fitcircle,Social Fitness platform,,Mumbai,Beerud Sheth and Ravi Mantha,Seed Funding,0.0
2015-04-12,Applop,On Demand Mobile app developer,,Kolkata,GHV Accelerator,Seed Funding,0.825
2015-04-12,CaRPM,Car Maintenance & Management mobile app,,Gurgaon,GHV Accelerator,Seed Funding,0.825
2015-04-12,NDTV Wedding portal,Online Wedding Marketplace,,New Delhi,CerraCap,Private Equity,165.0
2015-04-12,Splitkart,Splitting Bills Mobile App,,New Delhi,"Rajesh Sawhney, Anupam Mittal, Dinesh Agarwal, Gaurav Gupta,",Seed Funding,0.0
2015-07-12,Zenatix,IOT Energy Management Analytics platform,,Gurgaon,Blume Ventures,Private Equity,0.0
2015-07-12,Customfurnish,Custom Made furniture e-tailer,,Hyderabad,Agnus Capital,Private Equity,37.125
2015-07-12,Faasos,QSR Chain,,Pune,"ru-Net, Sequoia Capital,\\xc2\\xa0 Lightbox Ventures",Private Equity,247.5
2015-07-12,Vlurn,eLearning platform,,Mumbai,Vidyadhar Sarfare,Seed Funding,0.0
2015-07-12,Leaf Wearables,Smart Safety Wearable Devices,,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,2.0625
2015-07-12,Coolshare,Cab Sharing service Mobile app,,Mumbai,Gopal Aggarwal,Seed Funding,0.825
2015-08-12,mFicient,Cloud Enterprise Mobility Platform,,New Delhi,Undisclosed investors,Seed Funding,0.0
2015-08-12,HeyBiz,Online Shopping Assistant Mobile app,,New Delhi,Shopclues,Seed Funding,0.0
2015-08-12,Yumist,Home Cooked Food Order & Delivery platform,,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,16.5
2015-09-12,Jigsaw Academy,Online School for Analytics learning,,Bangalore,Manipal Global Education Services,Private Equity,24.75
2015-09-12,JoeHukum,Chat based personal Assistant App,,Gurgaon,"TracxnLabs, Jitendra Gupta, Prashant Tandon",Seed Funding,0.0
2015-09-12,Voxweb,Picture creation & Social mobile app,,Mumbai,Undisclosed Investor,Seed Funding,2.8875
2015-09-12,Aye Finance,Nonbanking finance company,,New Delhi,"SAIF Partners, Accion",Private Equity,24.75
2015-09-12,JumboBasket,eCommerce returns etailer,,Chandigarh,Chandigarh Angels Network,Seed Funding,0.0
2015-10-12,BlackBuck,Online Freight Services Aggregator,,Bangalore,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",Private Equity,206.25
2015-10-12,HomeStudio,Online Branded Furniture etailer,,Bangalore,Bren Corporation,Private Equity,41.25
2015-10-12,PropheSee,Digital Analytics Platform,,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,4.125
2015-10-12,i2e1,Internet Network Infrastructure Services,,New Delhi,GrowX Ventures,Seed Funding,4.125
2015-10-12,Holisol Logistics,Supply Chain & Logistics Solutions,,New Delhi,CLSA Capital Partners ARIA IV Funds,Private Equity,82.5
2015-10-12,Stay Simple Resorts,Holiday Resort Chain,,Bangalore,"Mr. Sudhir & Ms. Shalini Sethi, Mr. Praveen Someshwar",Seed Funding,0.0
2015-10-12,Paynear,Mobile Point of Sale solutions,,Hyderabad,Mitesh Majithia,Private Equity,20.625
2015-10-12,Chillr,Peer-to-Peer Money Transfer & Recharge App,,Mumbai,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",Private Equity,577.5
2015-11-12,EureQa,Test Automation SAAS platform,,Hyderabad/USA,"Sashi Reddi, Gabriel Investments",Seed Funding,4.95
2015-11-12,LocalCircles,Citizens Engagement Platform,,Noida,Anand Mahindra,Private Equity,0.0
2015-11-12,GetFocus,Indoor Navigation & Analytics Solutions,,Mumbai,Undisclosed investors,Seed Funding,0.0
2015-11-12,UrbanClap,Hyperlocal On-Demand Household Services platform,,Gurgaon,Ratan Tata,Private Equity,0.0
2015-11-12,OnlineRTI,Online RTI application services,,Bangalore,"LetsVenture, Mohandas Pai",Seed Funding,1.2375
2015-11-12,Powerstores,ECommerce Website Creation SAAS platform,,Goa,Extreme Venture Partners\\xc2\\xa0 William Bissell,Seed Funding,0.0
2015-11-12,Weddingz.in,Wedding Venues & Vendors Marketplace,,Mumbai,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",Seed Funding,8.25
2015-11-12,Intelligent Interfaces,Interface development platform for Government officials,,Bangalore,"Sachin Bansal, Binny Bansal",Seed Funding,0.0
2015-12-14,Capricoast,Modular Furnishings Marketplace,,Bangalore,"Accel Partners India, RB Investments",Private Equity,28.875
2015-12-14,JetSetGo,Private Jet Bookings Marketplace,,Bangalore,Puneet Dalmia,Private Equity,0.0
2015-12-14,Cabsguru,Cab search Comparison & Booking platform,,New Delhi,Prashanth Ranganathan,Seed Funding,1.65
2015-12-14,Whoop,Performance Optimization Platform for athletes,,Boston,Infosys,Private Equity,24.75
2015-12-15,BookEventz,Event Venue Booking Platform,,Mumbai,"Mumbai Angels, Singapore Angel Network, Zishaan Hayath",Seed Funding,0.0
2015-12-15,Deal Street Asia,Digital Media Platform,,Singapore,"Vijay Shekhar Sharma, Singapore Angels Network",Seed Funding,0.0
2015-12-15,Streamoid,visual search and discovery platform,,Bangalore / Palo Alto,Undisclosed,Seed Funding,8.25
2015-12-16,Housejoy,Home services marketplace,,Bangalore,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",Private Equity,185.625
2015-12-16,Bluebirch,End to End reverse logistics Solution platform,,Bangalore,"Chicago Capital Ventures, Sanjay Mehta, Others",Seed Funding,16.5
2015-12-16,MeraDoctor,Virtual Health consultation app,,Mumbai,Unilazer,Private Equity,9.9
2015-12-16,STAGE 3,Online Renting platform,,New Delhi,"Nisha Sharma, Puneet Dalmia, Balaji Prabhakar",Seed Funding,0.0
2015-12-17,Rivigo,Logistics Services Provider,,Gurgaon,SAIF Partners and others,Private Equity,247.5
2015-12-17,Springboard,Data Science & UX design Learning platform,,Bangalore,"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital",Seed Funding,14.025
2015-12-17,Eatfresh,Online marketplace for Chef Meals,,Bangalore,Kalaari Capital,Private Equity,0.0
2015-12-18,Ampere Vehicles,Electric Bike Manufacturers,,Coimbatore,Kris Gopalakrishnan & Others,Seed Funding,9.9
2015-12-18,Focus Digit,ECommerce platform solutions,,New Delhi,Turning Ideas,Seed Funding,0.0
2015-12-18,The News Minute,Online Media Publication,,Bangalore,Quintillion Media,Seed Funding,0.0
2015-12-18,CBREX,International Hiring Platform,,Mumbai / NY,"Prahlad Rao, Sundara Rajan, Vikram Chachra",Seed Funding,1.65
2015-12-21,TruckMandi,Logistics Service Provider Marketplace,,New Delhi,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",Private Equity,16.5
2015-12-21,Peppertap,Hyperlocal\\xc2\\xa0 Grocery Delivery Service,,Gurgaon,Innoven Capital,Private Equity,33.0
2015-12-21,KOOH Sports,Sports Education Platform,,Mumbai,"TCS, HDFC, Faering Capital, Elevate Sports",Private Equity,16.5
2015-12-22,RentOnGo,"Bike, Appliances Renting marketplace",,Bangalore,"Anand Chandrasekaran, Rajesh Sawhney, Kalpana Tatavarti, Shivanandan Pare",Seed Funding,0.0
2015-12-22,Industrybuying,Online Marketplace for Industrial Goods,,New Delhi,"Murugappa Group, TVS Group, Vellayan Subbiah, Arathi Krishna, Arun Venkatachalam",Seed Funding,0.0
2015-12-22,Zapr,Reward points mobile app,,Gurgaon,Dinesh Agarwal,Seed Funding,0.0
2015-12-22,LatestOne,Mobile accessories online store,,Hyderabad,Palred Technologies Ltd,Private Equity,24.75
2015-12-22,PlanetGogo,Content Discovery & reward points platform,,Gurgaon,HT Digital Media Holdings Ltd,Seed Funding,0.0
2015-12-22,Arya.ai,Artificial Intelligence platform,,Mumbai,"YourNest Angel Fund, Venture Nursery",Private Equity,6.1875
2015-12-22,Doctor Insta,Medical Consultation & Doctor appointment booking platform,,Gurgaon,"Rishi Parti, BrahmaX Ventures",Private Equity,4.125
2015-12-22,MobieFit,Mobile Fitness App,,Goa,Medi Assist,Private Equity,8.25
2015-12-23,LafaLafa,"Digital Coupons, Deal & Cashback aggregator app",,Mumbai,Vectr Ventures,Private Equity,0.0
2015-12-23,Mech Mocha,Mobile Game development & Design platform,,Bangalore,"Blume Ventures, Flipkart",Seed Funding,8.25
2015-12-23,Shotang.com,B2B eCommerce Marketplace,,Bangalore,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,41.25
2015-12-23,CityFurnish,Furniture and appliances rental platform,,Gurgaon,Jitendra Gupta,Seed Funding,0.0
2015-12-24,Black White Orange,B2B Merchandize platform,,Mumbai,Collaborative Licensing Ventures LLP,Seed Funding,2.49975
2015-12-24,Kolabro,Real Estate focused Tech platform,,Gurgaon,"Umang Kumar, Ruchir Arora & others",Seed Funding,0.0
2015-12-24,Canvera,Photographer Online search & booking platform,,Bangalore,Info Edge (India) Ltd,Private Equity,18.15
2015-12-28,Town Essentials,Grocery Delivery platform,,Bangalore,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,8.25
2015-12-28,Bumper,Mobile Car Servicing appointment app,,Bangalore,SAIF Partners,Seed Funding,4.125
2015-12-29,Hotify,New Curation Mobile App,,Bangalore,Mahavir Pratap Sharma,Seed Funding,1.2375
2015-12-29,MobiKwik,Mobile Wallet,,Gurgaon,"Sequoia Capital, Tree Line Asia, Innoven Capital",Private Equity,54.45
2015-12-30,Intelligent Interfaces,Interface development platform for Government officials,,Bangalore,Yuvraj Singh,Seed Funding,0.0
2015-02-11,Twigly,Online Food Ordering & Delivery platform,,Gurgaon,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",Seed Funding,1.65
2015-02-11,CityFlo,Bus Aggregation and rental mobile app,,Mumbai,IDG Ventures,Seed Funding,6.1875
2015-03-11,Findyahan,hyperlocal online Services platform,,Noida,Times Group Brand Capital,Private Equity,0.0
2015-03-11,Sabse,WiFi \xe2\x80\x93 first Cloud communication platform,,Mumbai,Ratan Tata,Private Equity,0.0
2015-03-11,Pokkt,Alternate Mobile Monetization platform,,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Private Equity,41.25
2015-03-11,oibanit,Online Food Ordering Marketplace,,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding,1.2375
2015-03-11,Stuffed,Quick Service Restaurant & Online Delivery,,Mumbai,Riqueza Capital,Seed Funding,3.17625
2015-03-11,Deyor Rooms,Budget Hotels Aggregator,,New Delhi,Dheeraj Jain & Others,Seed Funding,4.125
2015-03-11,Bidgely,Efficient Energy Management platform,,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,136.95
2015-04-11,Shirsa Labs,Digital Intelligent learning platform,,Mumbai,ah! Ventures,Seed Funding,2.0625
2015-04-11,Paytunes,Voice Call incentivization mobile app,,New Delhi,CIO Angel Network,Seed Funding,0.0
2015-04-11,YourDOST,Online Counselling and psychological support platform,,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,3.3
2015-05-11,BookMyBai,Domestic Help Aggregation platform,,Mumbai,Vineel Nalla & Others,Seed Funding,1.2375
2015-05-11,MyIndianStay,Home Stay & room rentals platform,,Goa,Undisclosed investors,Seed Funding,1.65
2015-05-11,Bobble,Selfie Mobile App,,New Delhi,SAIF Partners & others,Private Equity,0.0
2015-06-11,RepUp,Online Reputation Management Platform,,Gurgaon,Indian Angel Network,Seed Funding,0.0
2015-06-11,Satvacart,Online Grocery platform,,Gurgaon,Undisclosed HNIs,Private Equity,14.85
2015-06-11,POPxo.com,Online content platform for women,,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,16.5
2015-06-11,SparesHub,Online Vehicle Spare Parts etailer,,Pune,"Hyderabad Angels, M&S Partners",Seed Funding,3.795
2015-06-11,Explara,Event Ticketing platform,,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,4.0425
2015-06-11,Soothe Healthcare,affordable Personal Healthcare Products,,Noida,Saina Nehwal,Seed Funding,0.0
2015-06-11,Yuvi Hospitality,Premium dining Lounges & restaurants,,Gurgaon,Chandralekha Construction Pvt. Ltd.,Private Equity,123.75
2015-09-11,AppVirality,Mobile Growth Hacking\\nPlatform,,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,4.125
2015-09-11,iStar Skill Development,Skill Training Startup,,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,12.375
2015-09-11,BigStylist.com,Beauty and Wellness Marketplace,,Mumbai,Info Edge,Private Equity,8.25
2015-09-11,Zilingo,Marketplace App for Bangkok,,Bangalore/ Bangkok,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,15.675
2015-09-11,Didi,On-demand Maids Service Provider,,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,1.2375
2015-09-11,Skoov.com,eCommerce Product Search Engine,,Mumbai,undisclosed investor,Seed Funding,1.2375
2015-10-11,Chefs Basket,Ready to cook packaged Foods,,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,49.5
2015-11-11,Gingercrush,Product Customization Platform,,Vadodara,TV Mohandas Pai\\xe2\\x80\\x99s family office,Seed Funding,0.0
2015-11-11,Delight Foods,Branded Food products online sales,,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,4.95
2015-11-11,6Degree,Talent platform for Fashion professionals,,Goa/Hyderabad,"Centre For Incubation & Business Acceleration (CIBA), Goa",Seed Funding,0.0
2015-11-11,RenewBuy,Auto Insurance Online platform,,Gurgaon,Mount Nathan Advisors Pte Ltd,Seed Funding,4.125
2015-11-11,Grab,Hyperlocal Logistics Service Provider,,Mumbai,Sixth Sense Ventures,Seed Funding,0.0
2015-12-11,Hitwicket,Cricket Management Mobile Game,,Hyderabad,Chennai Angels,Seed Funding,2.0625
2015-11-13,Flashdoor,On Demand Laundry Service platform,,Bangalore,"Sujeet Kumar, Ankit Nagori, Traxcn Labs",Seed Funding,0.0
2015-11-16,Cashkaro.com,Ecommerce Discount & Cashback coupons platform,,Gurgaon,Kalaari Capital,Private Equity,30.525
2015-11-16,Absentia,Virtual Reality Headset creator,,Bangalore,"Astarc Ventures, 50K Ventures & others",Seed Funding,1.485
2015-11-16,Renowala,Home Improvement Service platform,,Hyderabad,Logtally,Seed Funding,0.0
2015-11-16,TaskBucks,mobile-only tasks marketplace,,New Delhi,Times Internet,Private Equity,123.75
2015-11-17,CraftsVilla,Women Ethnic Wear\\xc2\\xa0 Online Marketplace,,Mumbai,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",Private Equity,280.5
2015-11-17,Julia Computing,Numerical Computing & Data Science Platform,,Bangalore,Gordon and Betty Moore Foundation,Seed Funding,4.95
2015-11-17,StyleTag,Designer fashion Jewellery Marketplace,,Bangalore,Jitu Virwani,Seed Funding,61.875
2015-11-17,Smytten,Online Products Discovery Platform,,Gurgaon,"Rimpal Chawla, Anuj Srivastava",Seed Funding,1.65
2015-11-17,BiBox,Kids Tool kit for Innovation platform,,Bangalore,Ravi Krishnamurthy,Seed Funding,4.3725
2015-11-17,Convegenius,Mobile Learning Solutions,,Noida / Singapore,Enablers platform,Seed Funding,2.475
2015-11-18,Ola,Car Aggregator & Retail Mobile App,,Bangalore,"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi",Private Equity,4125.0
2015-11-18,Goodbox,conversational commerce mobile app,,Bangalore,Nexus Venture Partners,Private Equity,20.625
2015-11-18,ScoopWhoop,Viral Content web Platform,,New Delhi,Kalaari Capital,Private Equity,33.0
2015-11-18,Hipship,Express local delivery platform,,Bangalore,"Inara Capital , Rishi Khiani",Seed Funding,0.0
2015-11-18,Pickrr,On-Demand Local Logistics provider,,New Delhi,Palaash Ventures,Seed Funding,0.0
2015-11-18,Truelancer,Curated Freelancer Marketplace,,New Delhi,"Blackstone Valley Group, Raghu Vohra, Aditya Dev Sood, Kamal Bansal",Seed Funding,0.0
2015-11-19,AHA Taxis,Online Taxi Rental Platform,,Noida,ah! Ventures,Seed Funding,0.0
2015-11-19,UrbanClap,Mobile Services Marketplace,,Gurgaon,"Bessemer Venture Partner, Accel, SAIF Partners",Private Equity,206.25
2015-11-19,SenseGiz,Smartwatch Maker,,Belgaum,Karnataka Semiconductor Venture Capital firm,Seed Funding,4.125
2015-11-19,PlaceofOrigin,Online Gourmet Food Marketplace,,Bangalore,"S.D. Shibulal, Kris Gopalakrishnan, Srinath Batni, Professor Tarun Khanna,\\xc2\\xa0 Ganapathy Venugopal.",Seed Funding,0.0
2015-11-19,Fourseven,Online Jewellery etailer,,New Delhi,Indian Angel Network,Seed Funding,3.75375
2015-11-20,MindTickle,Sales & Productivity Software,,Pune / US,New Enterprise Associates,Private Equity,103.125
2015-11-20,Shopsense,ecommerce related software product platform,,Mumbai,"Kae Capital, Kunal Bahl, Rohit Bansal",Seed Funding,0.0
2015-11-20,Medinfi,Health-Tech platform,,Bangalore,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",Seed Funding,2.51625
2015-11-20,OUWT,Nightlife Discovery Mobile App,,Mumbai,Undisclosed investors,Seed Funding,1.2375
2015-11-20,HeyPillow,Online Real Estate Marketplace,,Bangalore,Hampton Capital,Private Equity,24.75
2015-11-21,Healers At Home,"Home Healthcare Services platform,",,New Delhi,"Daljit Singh, Dr. Pramath Raj Sinha, BVR Mohan Reddy",Seed Funding,0.0
2015-11-21,Caravan Craft,Indian Ethnic Crafts Etailer,,Bangalore,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Private Equity,9.9
2015-11-21,Talkoot,Social platform for traders and investors,,Bangalore,Undisclosed investors,Seed Funding,0.825
2015-11-23,RentoMojo,"Online Furniture, Home Appliances Rental Platform",,Bangalore,"IDG Ventures India,\\xc2\\xa0 Accel Partners India",Private Equity,16.5
2015-11-23,Medikoe,Healthcare Services Discovery platform,,Bangalore,Anil Menon,Seed Funding,0.825
2015-11-24,Stylofie,Health and Beauty Services Marketplace,,Gurgaon,Swastika,Seed Funding,2.0625
2015-11-24,ServX,Automotive Services platform,,New Delhi,Manish Gupta,Seed Funding,0.0
2015-11-24,Naaptol,Online and TV Shopping Marketplace,,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,429.0
2015-11-24,Crayon Data,Big Data Analytics Platform,,Chennai/ Singapore,Ratan Tata,Private Equity,0.0
2015-11-25,EarlySalary.com,Mobile App based Loan disbursement platform,,Mumbai,Ashok Agarwal,Seed Funding,12.375
2015-11-25,Tooler,On Demand Laundry Services App,,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding,0.9075
2015-11-25,S Chand,Education Content Provider,,New Delhi,IFC Everstone Group,Private Equity,222.75
2015-11-26,Stelae,Content Management Software Solutions,,Chennai,Earlsfield Capital,Private Equity,0.0
2015-11-26,GoQii,Fitness Tracking Management Solutions,,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,110.55
2015-11-26,Grofers,Hyper-local Grocery Delivery platform,,Gurgaon,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,990.0
2015-11-26,Pluss,Hyperlocal healthcare product Delivery Service provider,,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Private Equity,8.25
2015-11-26,KountMoney,Online Lending Marketplace,,Bangalore,"Tracxn, Ashish Goenka & Others",Seed Funding,0.0
2015-11-27,StayGlad,On Demand Beauty Services Platform,,Bangalore,"Bessemer Venture Partners, Anil Chopra",Private Equity,0.0
2015-11-27,Fastudent,Education Content etailer,,Noida,Ashish Gupta,Seed Funding,0.0
2015-11-27,LearnOn,Clud based Learning platform,,Chennai,JMR Infotech India Pvt Ltd,Seed Funding,0.0
2015-11-27,Talentrack,Talent Exchange & Talent Services Marketplace,,New Delhi,Unigrowth Inc,Seed Funding,0.0
2015-11-28,M-TAXI,Two-Wheeler Taxi Service,,Gurgaon,"Mandeep Singh, Jairaj Singh",Seed Funding,0.0
2015-11-30,Baxi,Two-Wheeler Taxi Service,,Gurgaon,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia,",Seed Funding,11.9625
2015-11-30,Superhero Brands,character merchandize sales platform,,Mumbai,DSG Consumer Partners,Seed Funding,4.455
2015-11-30,MoMagic,Mobile Application Developer,,New Delhi,FIH Mobile Ltd,Private Equity,0.0
2015-11-30,QikPod,Ecommerce Delivery locker services,,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,74.25
2015-11-30,Butterfly Interactive,extra curricular activities marketplace app,,New Delhi,Undisclosed investors,Seed Funding,0.0
2015-11-30,Bro4U,Hyperlocal Online Home services provider,,Bangalore,Sargod Ventures,Seed Funding,0.0
2015-01-10,Indifi,Easy Business Loans platform,,Gurgaon,"Accel Partners, Elevar Equity, Pramod Bhasin, Rajan Anandan, Gaurav Dalmia, Abhishek Goyal, Gagan Hasteer , Arun Tadanki",Seed Funding,0.0
2015-01-10,Wydr,Performance based Wholesale Marketplace,,New Delhi,Sandeep Aggarwal,Seed Funding,0.0
2015-01-10,EasyFix,Professional Services Marketplace,,Gurgaon,Axilor Ventures,Seed Funding,0.0
2015-01-10,Muvizz,Movie-on-demand platform,,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,2.8875
2015-01-10,Abhibus,us ticketing and fleet management platform,,Hyderabad,Paytm (One97 communications),Private Equity,0.0
2015-01-10,Cleartax,Online Income Tax Filing platform,,New Delhi,Paytm (One97 communications),Private Equity,0.0
2015-02-10,Shopalyst,Product discovery & recommendation platform,,Bangalore,Kalaari Capital,Private Equity,16.5
2015-03-10,Chillr,Mobile Payments App,,Mumbai,Sequoia Capital,Private Equity,49.5
2015-05-10,Nykaa,Beauty & Wellness Products e-tailer,,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,78.375
2015-05-10,Voylla,Fashion jewelry and accessories e-tailer,,Jaipur,Peepul Capital,Private Equity,123.75
2015-05-10,IndiaLends,Online Consumer Lending platform,,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,8.25
2015-05-10,Rock N Shop,Premium Apparel shopping portal,,New Delhi,High Networth Individuals (undisclosed),Seed Funding,1.2375
2015-06-10,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,5.775
2015-06-10,WorkIndia,Job Board,,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,4.125
2015-06-10,SportzVillage,Sports Management & Physical Education Business,,Bangalore,Gaja Capital Private Equity Fund,Private Equity,82.5
2015-06-10,SportyBeans,multi-sport program for preschoolers,,Pune,YouWeCan Ventures,Seed Funding,0.0
2015-06-10,Burger Singh,QSR & Online delivery portal,,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,4.125
2015-06-10,Welcome Cure,Online Homeopathy Clinic,,Mumbai,Unnamed Media house and HNIs,Private Equity,49.5
